normalized,raw,tag,definition_fr
MAHEUTRE,maheutre,obsolete,"1) Manche courte et rembourrée couvrant le bras de l'épaule au coude, portée sous l'Ancien Régime. 2) Par extension, surnom donné aux soldats, notamment aux combattants protestants pendant les guerres de Religion."
MAIF,MAIF,acronym,"Mutuelle assurance des instituteurs de France, société d'assurance mutualiste fondée à l'origine pour les enseignants."
MAISONNEUVE,Maisonneuve,obsolete,"1) Patronyme français signifiant littéralement « maison neuve ». 2) Ancien village aujourd'hui intégré à l'île de Montréal, au Québec."
MANTCHOUKOUO,Mantchoukouo,obsolete,"Ancienne transcription française de l'État fantoche du Mandchoukouo, créé par le Japon en Mandchourie."
MANTCHOURIE,Mantchourie,obsolete,"Ancienne orthographe de la Mandchourie, région historique du nord-est de la Chine."
MARIOUPOL,Marioûpol,obsolete,"Ancienne graphie de Marioupol, ville portuaire ukrainienne sur la mer d'Azov."
MASCON,Mascon,obsolete,"Ancienne forme du nom de Mâcon, ville de Bourgogne."
MASTERCLASSE,masterclasse,slang,"Francisation de « master class », cours donné par un expert reconnu à un public restreint."
MATRIXE,matrixé,slang,"1) Avoir été profondément marqué par un événement au point d'en avoir la vision du monde bouleversée. 2) Être sous l'emprise intellectuelle d'une personne, jusqu'à l'endoctrinement. 3) Être totalement accro à une activité, au point d'y consacrer un temps excessif."
MATUCHE,matuche,slang,"Terme d'argot désignant un gardien de prison ou, plus largement, un policier."
MAUDITION,maudition,regional,Synonyme vieilli de « malédiction ».
MAUTADIT,mautadit,colloquial,"Juron québécois marquant l'insistance ou l'exaspération, équivalent de « maudit » dans une phrase emphatique."
MAZOURKE,mazourke,dated,"Ancienne francisation du mot « mazurka », danse polonaise à trois temps."
MBILA,mbila,slang,Terme d'argot désignant la police.
MERCO,Merco,slang,Abréviation familière désignant une automobile de la marque Mercedes.
MERICAIN,méricain,slang,"Déformation argotique et moqueuse de « américain », désignant les États-Unis ou leurs ressortissants sur un ton railleur."
MESCHACEBE,Meschacébé,dated,"Ancien nom, d'origine amérindienne, donné au fleuve Mississippi par les explorateurs français."
MESMEMENT,mesmement,archaic,"Ancienne orthographe de « mêmement », adverbe signifiant « surtout » ou « en particulier »."
MEUR,meur,obsolete,Ancienne graphie de l'adjectif « mûr ».
MIF,mif,slang,"Terme d'argot, verlan de « famille », désignant le cercle familial ou les proches."
MIGRAINIER,migrainier,obsolete,"Ancien nom du grenadier, arbuste dont le fruit est la grenade."
MILHOUSE,Milhouse,obsolete,"Ancienne orthographe de Mulhouse, ville d'Alsace."
MINUSTAH,MINUSTAH,acronym,"Mission des Nations unies pour la stabilisation en Haïti, opération de maintien de la paix déployée après la crise politique de 2004."
MONNOIE,monnoie,obsolete,Ancienne graphie du mot « monnaie ».
MONNOYE,monnoye,obsolete,"Autre ancienne graphie du mot « monnaie », attestée avant la fixation orthographique moderne."
MONTMOULOUX,Montmouloux,obsolete,"Ancienne forme du nom de Moumoulous, village des Hautes-Pyrénées."
MONTPARNO,Montparno,slang,Surnom familier du quartier parisien de Montparnasse.
MORDAN,mordan,obsolete,Ancienne graphie de l'adjectif « mordant ».
MORTNE,mortné,obsolete,"1) Variante graphique de « mort-né », qualifiant un enfant décédé avant ou pendant l'accouchement. 2) Ancienne forme de « morné », terme de blason qualifiant un animal héraldique représenté sans dents ni griffes."
MOULIERY,Mouliery,obsolete,"Ancienne graphie de Mouliéris, ferme aujourd'hui en ruine sur la commune de Saint-Lizier, en Ariège."
MUCEM,Mucem,acronym,"Musée des civilisations de l'Europe et de la Méditerranée, institution culturelle installée à Marseille depuis 2013."
NARCISUS,Narcisus,archaic,"Ancienne graphie du prénom Narcisse, référence à la figure mythologique grecque."
NAS,NAS,acronym,"Numéro d'assurance sociale, identifiant fiscal et administratif attribué à chaque résident au Canada."
NEERLANDE,Néerlande,obsolete,Ancien nom désignant les Pays-Bas.
NEP,NEP,acronym,"Nouvelle politique économique, réforme instaurée par Lénine en URSS en 1921 pour réintroduire certains mécanismes de marché."
NIGROMANCIE,nigromancie,archaic,"Ancienne forme de « nécromancie », désignant la divination par évocation des morts, parfois confondue à tort avec la magie noire."
NISMES,Nismes,obsolete,"Ancienne orthographe de la ville de Nîmes, dans le Gard."
NONILLION,nonillion,dated,"Nombre valant dix puissance trente dans l'échelle courte, ou dix puissance cinquante-quatre dans l'échelle longue, deux conventions de nommage des grands nombres qui coexistent selon les pays."
NORAF,noraf,dated,Forme tronquée et vieillie de « Nord-Africain ».
NORDAF,nordaf,dated,"Autre forme tronquée, également vieillie, de « Nord-Africain »."
NOYLHIAC,Noylhiac,obsolete,"Ancienne graphie de Noailhac, nom porté par plusieurs communes françaises."
NULLOS,nullos,slang,"Terme d'argot, à la fois nom et adjectif, qualifiant une personne ou une chose jugée sans intérêt ou sans valeur."
ODEE,odée,dated,"Ancienne forme du mot « odéon », théâtre destiné dans l'Antiquité aux représentations musicales."
OFPRA,OFPRA,acronym,"Office français de protection des réfugiés et apatrides, établissement public chargé d'instruire les demandes d'asile en France."
OKEDOU,okédou,colloquial,Variante familière et enjouée de « d'accord ».
OMBROPHOBE,ombrophobe,obsolete,Se dit d'une plante qui craint la pluie et recherche au contraire l'ensoleillement.
OPHTHALMOLOGIE,ophthalmologie,archaic,"Ancienne orthographe, avec un h, du mot « ophtalmologie »."
OPHTHALMOLOGUE,ophthalmologue,archaic,"Ancienne orthographe, avec un h, du mot « ophtalmologue »."
ORGEIS,Orgeis,obsolete,"Ancienne graphie d'Orgeix, village du département de l'Ariège."
ORICIEN,Oricien,slang,"Terme désignant un utilisateur des ordinateurs personnels de la marque Oric, populaires dans les années 1980."
ORT,ort,obsolete,"1) Ancien terme désignant le poids brut d'une marchandise, avant déduction de la tare. 2) Qualifiait aussi ce qui était sale ou grossier."
OTAN,OTAN,acronym,"Organisation du traité de l'Atlantique Nord, alliance militaire fondée en 1949 regroupant des pays d'Amérique du Nord et d'Europe."
OUFISSIME,oufissime,colloquial,"Superlatif familier de « ouf » (fou en verlan), signifiant extrêmement fou ou incroyable."
OUISCONSIN,Ouisconsin,dated,"Ancienne francisation du nom de la rivière Wisconsin, aux États-Unis."
OZ,oz,obsolete,"Abréviation de « once », unité de masse anglo-saxonne."
PADS,PADS,slang,"Sigle désignant l'état de mélancolie ressenti par certains spectateurs après avoir vu le film Avatar, en rupture avec le monde fictif qu'il dépeint."
PAEDERASTE,pædéraste,obsolete,"Ancienne graphie, empruntant directement au grec, du mot « pédéraste »."
PALAESTINE,Palæstine,obsolete,"Ancienne graphie, avec ligature latine, du nom « Palestine »."
PALESTIN,Palestin,obsolete,"Ancien nom désignant les Philistins, peuple de l'Antiquité installé sur la côte orientale de la Méditerranée."
PAMPELLONNE,Pampellonne,obsolete,"Ancienne graphie de Pampelonne, commune du département du Tarn."
PANAME,Paname,slang,Surnom populaire et affectueux de la ville de Paris.
PAPARMANE,paparmane,colloquial,"Bonbon à la menthe poivrée, terme employé au Québec."
PAPIRACE,papiracé,obsolete,"Variante orthographique de « papyracé », qualifiant ce qui a la consistance ou l'aspect du papier."
PARBOUILLIR,parbouillir,archaic,"Faire cuire brièvement un aliment dans l'eau bouillante, sans achever la cuisson."
PASTOUR,pastour,archaic,Ancienne forme du mot « berger ».
PATIMENT,pâtiment,literary,"État de souffrance prolongée, endurée avec résignation."
PATNE,patnè,slang,Terme d'argot désignant un ami proche.
PEB,PEB,acronym,"Prêt entre bibliothèques, dispositif permettant à un établissement d'emprunter un document conservé ailleurs pour le mettre à la disposition d'un lecteur inscrit."
PEGU,pégu,slang,Terme d'argot péjoratif désignant un paysan ou une personne perçue comme fruste.
PERNIFLARD,perniflard,slang,Terme d'argot désignant la boisson anisée Pernod.
PETERSBOURG,Pétersbourg,obsolete,Ancienne forme abrégée du nom de Saint-Pétersbourg.
PETOU,pétou,slang,Terme d'argot désignant une cigarette de cannabis.
PEUPLERAYE,peupleraye,obsolete,"Ancienne graphie de « peupleraie », plantation de peupliers."
PHARETRE,pharètre,literary,"Étui allongé destiné à contenir des flèches, porté en bandoulière par l'archer."
PHENICE,Phénice,obsolete,"Ancien nom de la Phénicie, civilisation antique du littoral levantin."
PHOENICIE,Phœnicie,archaic,"Ancienne graphie, avec ligature grecque, du nom « Phénicie »."
PINOCUMETTRE,pinocumettre,slang,Terme d'argot vulgaire signifiant avoir des rapports sexuels avec quelqu'un.
PLO,plo,dated,"Plat de riz cuit avec de la viande et des épices, originaire d'Asie centrale, aussi appelé pilaf."
PLS,PLS,colloquial,"1) Sigle de « position latérale de sécurité », posture de premiers secours donnée à une personne inconsciente qui respire encore. 2) Par extension familière, état d'épuisement extrême ou de grande gêne après un événement embarrassant. 3) Se dit, par analogie, d'un appareil ou d'un service informatique devenu très lent ou hors d'usage."
POISSECAILLE,poissecaille,slang,Terme d'argot désignant un poisson.
POTEUX,poteux,colloquial,"Terme d'argot désignant un fumeur assidu de cannabis, souvent perçu comme apathique et incapable de s'investir dans autre chose."
POTO,poto,slang,"Orthographe familière de « poteau », terme d'argot signifiant « copain »."
POUCRE,poucre,dialectal,Terme dialectal signifiant important ou impressionnant.
POYO,Poyo,obsolete,"Ancien nom désignant la variété de banane Gros Michel, autrefois dominante avant d'être décimée par une maladie fongique."
PQ,PQ,colloquial,"1) Sigle familier désignant le papier hygiénique. 2) Sigle du Parti québécois, formation politique souverainiste du Québec. 3) Abréviation de « province de Québec »."
PRAENESTE,Præneste,archaic,"Ancienne graphie de Préneste, cité antique du Latium, aujourd'hui Palestrina, en Italie."
PRAENESTIN,Prænestin,archaic,"Ancien adjectif désignant ce qui se rapporte à Préneste, cité antique du Latium."
PREBENDAIRE,prébendaire,archaic,"Ancien terme d'Église désignant le titulaire d'une prébende, revenu ecclésiastique attaché à une fonction."
PRESTRESSE,prestresse,archaic,Ancienne graphie du mot « prêtresse ».
PRISU,Prisu,dated,"Abréviation familière de Prisunic, ancienne chaîne française de magasins populaires."
PROG,prog,slang,"1) Abréviation familière de « programmation », notamment en informatique. 2) Abréviation de « progestérone », hormone stéroïde."
PROMISCU,promiscu,archaic,Ancien adjectif signifiant commun ou partagé entre plusieurs personnes.
PRUSSIE,Prussie,obsolete,"Ancien nom désignant la Prusse, région puis État historique d'Europe du Nord, aujourd'hui partagé entre l'Allemagne, la Pologne et la Russie."
PSELLISME,psellisme,dated,"Terme médical ancien désignant un trouble de la prononciation, en particulier le bégaiement, et plus largement toute anomalie de l'articulation de la parole."
PSILOSE,psilose,dated,"1) En linguistique, disparition de l'aspiration initiale d'un mot. 2) En médecine, synonyme ancien d'alopécie, la perte des cheveux. 3) Autre nom donné à la maladie cœliaque, trouble digestif chronique."
PUFFER,puffer,slang,"1) Ancien anglicisme signifiant faire de la publicité, vanter un produit. 2) Aspirer la vapeur d'une cigarette électronique."
PUSSY,pussy,slang,"1) Terme d'argot anglicisé désignant le sexe féminin. 2) Par extension péjorative, un homme jugé lâche ou peu viril."
PUTA,puta,slang,"Emprunt à l'espagnol ou au portugais, équivalent vulgaire de « pute », employé comme insulte visant une femme."
QHS,QHS,acronym,"Quartier de haute sécurité, ancien secteur d'une prison française réservé aux détenus jugés les plus dangereux."
QUATTORZE,quattorze,obsolete,Ancienne graphie du nombre « quatorze ».
QUESSE,quessé,colloquial,"Forme orale très contractée de « qu'est-ce que c'est ? », employée au Québec."
QUIENS,quiens,colloquial,"Ancienne ou régionale variante de « tiens », interjection marquant la surprise ou accompagnant le geste de donner quelque chose."
QUIN,quin,colloquial,"Autre variante régionale de « tiens », employée dans le même sens de surprise ou pour accompagner un don."
QUOSSE,quossé,colloquial,"Variante de « quessé », forme orale contractée de « qu'est-ce que c'est ? », employée au Québec."
RABIOLOT,rabiolot,regional,"Terme régional désignant un jeune lapin, synonyme de lapereau."
RANDOM,random,colloquial,"1) Anglicisme signifiant « au hasard » ou « sans rapport avec le contexte ». 2) Désigne aussi, par nominalisation, une personne quelconque et inconnue."
RAVEL,RAVeL,acronym,"Réseau autonome de voies lentes, ensemble d'itinéraires belges réservés aux cyclistes, piétons et cavaliers, situé en Région wallonne."
RCHOUMA,rchouma,slang,"D'origine arabe maghrébine, terme d'argot qualifiant ce qui provoque la honte ou le scandale."
RELIQUA,reliqua,obsolete,"Ancienne forme du mot « reliquat », la partie restante d'une somme ou d'un ensemble."
RHAETIE,Rhætie,obsolete,"Ancienne graphie de la Rhétie, province de l'Empire romain correspondant approximativement à la Suisse orientale et au Tyrol actuels."
RILLE,rille,dialectal,Terme dialectal désignant un petit morceau de viande de porc.
RINQUE,rinque,dialectal,Terme dialectal employé pour indiquer qu'une action vient tout juste de se produire.
ROAYS,Roays,obsolete,"Ancienne graphie de Roaix, commune du département du Vaucluse."
ROE,roé,colloquial,Ancienne ou dialectale variante du mot « roi ».
ROMANIA,Romania,literary,"Ensemble des régions d'Europe où l'on parle une langue issue du latin, les langues romanes."
ROUQUASSE,rouquasse,colloquial,Terme familier et légèrement péjoratif désignant une femme rousse.
ROUSSILLON,Roussillon,obsolete,"1) Roussillon, région historique du sud de la France, aujourd'hui intégrée à l'Occitanie, dont Perpignan fut la capitale. 2) Nom porté par plusieurs communes françaises, notamment dans l'Isère et le Vaucluse. 3) Ancien nom de Château-Roussillon, site antique proche de Perpignan."
SABENA,Sabena,acronym,"Société anonyme belge d'exploitation de la navigation aérienne, ancienne compagnie aérienne nationale de la Belgique, en activité de 1923 à 2001."
SAGHALINE,Saghaline,obsolete,"Ancienne graphie de Sakhaline, île russe de l'océan Pacifique, au nord du Japon."
SANGBLEU,sangbleu,dated,"Ancien juron atténué, à l'origine déformation de « sang de Dieu », exprimant la surprise ou l'agacement."
SAQ,SAQ,acronym,"Société des alcools du Québec, société d'État détenant le monopole de la distribution et de la vente d'alcool dans la province."
SARKO,Sarko,colloquial,"Surnom familier de Nicolas Sarkozy, président de la République française de 2007 à 2012."
SARL,SARL,acronym,"Société à responsabilité limitée, forme juridique d'entreprise dans laquelle la responsabilité des associés est limitée à leurs apports."
SAUMACHE,saumache,dialectal,"Se dit d'une eau au goût légèrement salé, intermédiaire entre l'eau douce et l'eau de mer, ou désigne cette eau elle-même."
SAUSSURE,Saussure,obsolete,"Ancienne graphie de Saulxures, nom porté par plusieurs communes françaises."
SAUTOIRE,sautoire,archaic,"Ancienne forme du mot « sautoir », qui désigne selon le contexte un long collier, une croix en X héraldique, ou une aire de saut en athlétisme."
SCALAP,scalap,slang,Terme d'argot désignant l'argent.
SCARIOLE,scariole,dated,"1) Nom vieilli de la laitue scariole, plante sauvage épineuse apparentée à la laitue cultivée. 2) Autre nom de la scarole, variété de chicorée aux feuilles larges."
SCART,SCART,acronym,"Syndicat des constructeurs d'appareils radiorécepteurs et téléviseurs, organisme à l'origine d'une norme française de connecteur audiovisuel, aujourd'hui largement supplantée par le HDMI."
SCHLAGUER,schlaguer,colloquial,"Terme d'argot signifiant frapper, donner des coups."
SCHWARZIE,Schwarzie,colloquial,Surnom familier de l'acteur et homme politique Arnold Schwarzenegger.
SCYLLE,Scylle,archaic,"Ancienne graphie de Scylla, monstre marin de la mythologie grecque qui, avec Charybde, menaçait les navigateurs dans un détroit."
SEPECAT,SEPECAT,acronym,"Société européenne de production de l'avion École de combat et d'appui tactique, consortium franco-britannique à l'origine de l'avion Jaguar."
SERMENTEUX,sermenteux,obsolete,Ancien terme désignant un prêtre ayant prêté le serment de fidélité à la Constitution civile du clergé pendant la Révolution française.
SINGAPORE,Singapore,obsolete,"Ancienne graphie, à l'anglaise, du nom « Singapour »."
SIRET,SIRET,acronym,"Système d'identification du répertoire des établissements, numéro à quatorze chiffres identifiant chaque établissement d'une entreprise en France."
SLACKER,slacker,colloquial,"1) Anglicisme signifiant desserrer ou relâcher quelque chose. 2) Pratiquer la slackline, discipline consistant à marcher en équilibre sur une sangle tendue."
SMOGLEUR,smogleur,dated,"Ancien terme désignant un navire, ou par extension un marin, se livrant à la contrebande, notamment à travers la Manche."
SNOBAGE,snobage,colloquial,"Attitude consistant à afficher un mépris hautain envers autrui, ou action d'ignorer délibérément quelqu'un."
SOEURATRE,sœurâtre,dated,"Terme désignant une demi-sœur ou belle-sœur peu aimante, voire hostile, par analogie avec les contes de fées."
SOPHIE,Sophie,archaic,"1) Prénom féminin d'origine grecque signifiant « sagesse ». 2) Ancien nom francisé de Sofia, capitale de la Bulgarie."
SORATRE,sorâtre,dated,"Variante orthographique de « sœurâtre », désignant une demi-sœur peu aimante ou hostile."
SOUMINATEUR,souminateur,slang,"Dans le contexte du BDSM, personne qui se présente comme soumise mais qui, en réalité, dirige la relation à son propre avantage."
SOUSMETTRE,sousmettre,obsolete,Ancienne graphie du verbe « soumettre ».
SOUSRIRE,sousrire,archaic,Ancienne graphie du mot « sourire ».
SOUSTENIR,soustenir,obsolete,Ancienne graphie du verbe « soutenir ».
SOUSTRAISIT,soustraisit,dated,"Forme du passé simple, à la troisième personne du singulier, du verbe « soustraire »."
SOUVENTESFOIS,souventesfois,archaic,"Ancien adverbe signifiant « souvent », littéralement « bien des fois »."
SOUVIGNIARGUES,Souvigniargues,obsolete,"Ancienne graphie de Souvignargues, commune du département du Gard."
SPARDEGNE,spardègne,dated,"Ancien terme régional désignant l'espadrille, chaussure à semelle de corde."
SPARTILLE,spartille,dated,"Autre ancien terme désignant l'espadrille, chaussure à semelle de corde."
SPONSO,sponso,colloquial,"Abréviation familière de « sponsoring », ou désigne un contenu publicitaire mettant en avant un partenaire commercial."
SSR,SSR,acronym,"Société suisse de radiodiffusion et télévision, groupe audiovisuel public assurant les programmes radio et télévisés en Suisse."
STACHIDE,stachide,dated,"Nom savant, synonyme d'« épiaire », désignant un genre de plantes de la famille des lamiacées."
STALINE,staline,dated,Terme d'argot désignant un verre de vin rouge.
STEPANOFF,Stépanoff,dated,Transcription française du patronyme russe Степанов (Stepanov).
STYFE,styfe,slang,Terme d'argot désignant une fille ou une jeune femme.
SYNIZESIS,synizésis,obsolete,"1) En poésie, fusion de deux syllabes en une seule pour respecter un mètre donné. 2) En biologie cellulaire, regroupement dense des chromosomes d'un côté du noyau avant la division cellulaire. 3) En médecine, occlusion de la pupille entraînant une perte de vision."
TABARNANE,tabarnane,colloquial,"Juron québécois, variante de « tabarnak », dérivé du mot « tabernacle » et employé pour exprimer une forte contrariété."
TAMIEN,tamien,slang,"Terme d'argot désignant le haschisch ou, par extension, une cigarette de cannabis."
TANA,tana,slang,Terme d'argot vulgaire et insultant visant une femme.
TANANARIVE,Tananarive,dated,"Ancien nom, hérité de la période coloniale, de la ville d'Antananarivo, capitale de Madagascar."
TAPROBANE,Taprobane,obsolete,1) Ancien nom donné par les Anciens à l'île aujourd'hui appelée Sri Lanka. 2) Désignait aussi une habitante de cette île.
TAXAMETRE,taxamètre,archaic,"Ancienne graphie de « taximètre », l'appareil mesurant la distance et calculant le tarif d'une course en taxi."
TAYEULE,tayeule,colloquial,"Contraction familière et vulgaire de « ta gueule », employée pour intimer à quelqu'un de se taire."
TD,TD,colloquial,"Abréviation de « travaux dirigés », séances d'enseignement en petit groupe complétant les cours magistraux à l'université."
TECI,téci,slang,"Terme d'argot, verlan de « cité », désignant un ensemble d'immeubles de banlieue ou, par extension, ses habitants."
TENEBROSITE,ténébrosité,literary,"État d'obscurité profonde, au sens propre comme au sens figuré."
TERRIFIQUE,terrifique,dated,"Ancien adjectif signifiant terrifiant, qui inspire une grande frayeur."
THENAILLE,Thenaille,obsolete,"Ancienne graphie de Thenailles, commune du département de l'Aisne."
THEZA,Theza,obsolete,"Ancienne graphie de Théza, commune des Pyrénées-Orientales, près de Perpignan."
THIBET,Thibet,obsolete,Ancienne graphie du mot « Tibet ».
THOULOUSE,Thoulouse,obsolete,"Ancienne graphie de la ville de Toulouse, également portée comme patronyme."
TILSITT,Tilsitt,obsolete,"Ancien nom de Sovetsk, ville de l'oblast de Kaliningrad en Russie, connue sous le nom de Tilsit jusqu'en 1946."
TIMP,timp,slang,Terme d'argot vulgaire et insultant visant une femme.
TONKING,Tonking,obsolete,"Ancienne graphie du Tonkin, région du nord du Vietnam."
TOSSETTE,tossette,slang,"Dans l'argot de l'École polytechnique, désigne une élève de première année."
TOURNAY,Tournay,obsolete,"1) Commune du département des Hautes-Pyrénées. 2) Ancienne graphie de la ville belge de Tournai, également portée comme patronyme."
TOUSKI,touski,slang,"1) Terme familier employé au Québec pour signifier « tout ce qu'il y a », notamment l'ensemble des garnitures disponibles pour un plat. 2) Désigne aussi un plat improvisé à partir de restes variés pour ne rien gaspiller."
TOUTOLOGUE,toutologue,colloquial,Terme familier et moqueur désignant une personne qui prétend tout savoir.
TRADO,trado,colloquial,Abréviation familière de « traduction ».
TREMBLAYE,tremblaye,obsolete,"Ancienne graphie de « tremblaie », un bois planté de trembles."
TROTTIER,trottier,obsolete,"Ancien terme désignant un messager qui se déplaçait rapidement, ou un cheval dressé au trot."
TSIKAVE,Tsikavé,obsolete,"Ancienne transcription française de Zikawei, quartier de Shanghai aujourd'hui appelé Xujiahui."
TUAC,TUAC,acronym,"Travailleurs unis de l'alimentation et du commerce, syndicat nord-américain représentant les salariés des secteurs de l'alimentation et de la distribution."
TUYE,tuyé,regional,"Cheminée pyramidale servant au fumage des viandes, typique des fermes de la région franco-suisse du Jura."
UDA,UDA,acronym,"Union des artistes, syndicat professionnel québécois représentant les artistes du spectacle et des médias."
UER,UER,acronym,"Union européenne de radio-télévision, organisation regroupant les diffuseurs publics européens, à l'origine notamment du concours Eurovision."
UNEDIC,UNEDIC,acronym,"Union nationale interprofessionnelle pour l'emploi dans l'industrie et le commerce, organisme paritaire chargé de la gestion de l'assurance chômage en France."
VAQUEIROLES,Vaqueiroles,obsolete,"Ancienne graphie de Vaquerolles, ferme située sur la commune de Nîmes, dans le Gard."
VAUNEANT,vaunéant,archaic,"Ancien terme désignant une personne bonne à rien, jugée inutile ou méprisable."
VEGRE,Vegre,obsolete,"Ancienne graphie de la Vègre, rivière du département de la Sarthe."
VENEZOLAN,vénézolan,archaic,Ancienne forme de l'adjectif « vénézuélien ».
VEROLLE,verolle,obsolete,"Ancienne forme du mot « virole », bague métallique renforçant l'extrémité d'un manche ou d'un objet."
VERVIN,Vervin,obsolete,"Ancienne graphie de Vervins, sous-préfecture du département de l'Aisne."
VEUE,veuë,obsolete,Ancienne graphie du mot « vue ».
VISSOUS,Vissous,obsolete,"Ancienne graphie de Wissous, commune du département de l'Essonne."
VOGES,Vôges,obsolete,Ancienne graphie du massif et du département des Vosges.
WALLAH,wallah,slang,"Interjection empruntée à l'arabe, littéralement « par Dieu », employée pour marquer la surprise ou pour affirmer que l'on dit vrai."
WE,we,slang,Variante orale très relâchée de « oui ».
WI,wi,slang,Autre variante orale relâchée de « oui ».
WOKIPEDIA,Wokipédia,slang,"Néologisme moqueur formé sur « Wikipédia », visant à dénoncer un prétendu biais idéologique progressiste de l'encyclopédie en ligne."
WORTH,worth,slang,Anglicisme employé pour qualifier ce qui mérite le temps ou l'effort qu'on y consacre.
WOUSUNG,Wousung,obsolete,"Ancienne transcription française de Wusong, rivière et quartier portuaire de Shanghai."
WW,ww,slang,"Autre graphie de « we », variante orale très relâchée de « oui »."
YUNANNE,Yunanne,obsolete,"Ancienne graphie du Yunnan, province du sud-ouest de la Chine frontalière du Myanmar, du Laos et du Vietnam."
YVETTE,Yvette,dated,"1) Prénom féminin, forme féminine d'Yves. 2) Au Québec, surnom donné à la ménagère francophone typique votant pour le camp fédéraliste lors des référendums. 3) Rivière d'Île-de-France, affluent de l'Orge."
ZEAN,ZEAN,acronym,"Zone exempte d'armes nucléaires, territoire où la possession, le stationnement et l'essai d'armes nucléaires sont interdits par traité international."
ZETES,zêtes,colloquial,Contraction orale et familière de « vous êtes ».
ZICZAC,ziczac,obsolete,Ancienne graphie du mot « zigzag ».
ZILCADE,zilcadé,obsolete,"Ancienne transcription de dhou al-qaada, onzième mois du calendrier musulman."
ZILHIDJE,zilhidjé,obsolete,"Ancienne transcription de dhou al-hijja, douzième et dernier mois du calendrier musulman, mois du pèlerinage à La Mecque."
ZILKADE,zilkadé,obsolete,"Autre ancienne transcription de dhou al-qaada, onzième mois du calendrier musulman."
