term_normalized,sense_rank,pos,gender,definition,source
BYZANCE,2,N,f,"Par extension, symbole de faste et de richesse extrême.",kaikki
CABANEL,1,N,,Patronyme d'origine occitane.,kaikki
CABOURG,1,N,,"Commune littorale du département du Calvados, en Normandie.",kaikki
CAC,1,N,m,"Sigle de Cotation assistée en continu, système électronique de cotation utilisé par la Bourse de Paris, qui a donné son nom à l'indice CAC 40.",kaikki
CACHAN,1,N,m,"Commune du département du Val-de-Marne, en Île-de-France.",kaikki
CACHEMIRIES,1,N,f,"Forme féminine pluriel de Cachemiri, habitante du Cachemire.",kaikki
CADILLAC,1,N,,"Patronyme et toponyme français, notamment une commune de Gironde.",kaikki
CADILLAC,2,N,,"Quartier de la ville de Rouyn-Noranda, au Québec, et village de Saskatchewan, au Canada.",kaikki
CADILLAC,3,N,,Marque américaine d'automobiles de luxe du groupe General Motors.,kaikki
CADIX,1,N,,"Nom porté par deux villes : Cadix en Andalousie (Espagne), chef-lieu de sa province, et une commune du département du Tarn, en France.",kaikki
CADOC,1,N,m,Prénom masculin d'origine bretonne.,kaikki
CAECILE,1,N,f,Ancienne orthographe du prénom Cécile.,kaikki
CAEN,1,N,,Préfecture du département du Calvados.,kaikki
CAESAR,1,N,m,Autre graphie du prénom César.,kaikki
CAESAREE,1,N,f,"Ancienne graphie de Césarée, nom porté par plusieurs villes antiques fondées ou renommées en l'honneur d'un empereur romain.",kaikki
CAFFRERIE,1,N,f,"Autre graphie de Cafrerie, ancien nom donné à une région d'Afrique australe.",kaikki
CAFRERIE,1,N,f,"Ancien nom donné à des territoires appartenant aujourd'hui à la province du Cap-Oriental, en Afrique du Sud.",kaikki
CAGARELLE,1,N,f,Terme régional et familier désignant la diarrhée.,kaikki
CAIETE,1,N,f,"Nom francisé de Gaète, ville du Latium, en Italie.",kaikki
CAIN,1,N,m,"Selon la Bible, fils aîné d'Adam et Ève, meurtrier de son frère Abel.",kaikki
CAIPHE,1,N,m,Grand prêtre juif mentionné dans les Évangiles lors du procès de Jésus.,kaikki
CAIROUAN,1,N,,"Autre graphie de Kairouan, ville sainte de Tunisie.",kaikki
CALABRE,1,N,f,Péninsule et région administrative du sud de l'Italie.,kaikki
CALAVON,1,N,m,"Rivière affluente de la Durance, traversant le Vaucluse et les Alpes-de-Haute-Provence.",kaikki
CALBEL,1,N,,"Lieu-dit de la commune de Montjoi, en Tarn-et-Garonne.",kaikki
CALCUTTA,1,N,f,"Ancien nom de Kolkata, capitale de l'État du Bengale-Occidental, en Inde.",kaikki
CALEB,1,N,m,"Personnage biblique, l'un des explorateurs envoyés par Moïse en terre de Canaan.",kaikki
CALEDONIE,1,N,f,Ancien nom romain donné au territoire correspondant à l'Écosse actuelle.,kaikki
CALEFACTOIRE,1,N,m,"Terme vieilli désignant, dans un monastère, la salle chauffée réservée aux moines.",kaikki
CALGARY,1,N,,"Plus grande ville de la province de l'Alberta, au Canada.",kaikki
CALIFORNIE,1,N,f,"État le plus peuplé des États-Unis, sur la côte pacifique.",kaikki
CALINESCU,1,N,,Patronyme d'origine roumaine.,kaikki
CALIOUDI,1,N,,Village d'Albanie.,kaikki
CALIXTE,1,N,,"Prénom mixte, également porté comme patronyme.",kaikki
CALIXTHE,1,N,f,Prénom féminin.,kaikki
CALLIMAQUE,1,N,m,"Poète et érudit grec de l'époque hellénistique, actif à Alexandrie.",kaikki
CALLISTHENE,1,N,m,"Historien grec de l'Antiquité, qui accompagna Alexandre le Grand dans ses campagnes.",kaikki
CALUX,1,N,,"Lieu-dit de la commune de Montjoi, en Tarn-et-Garonne.",kaikki
CAMAMILLE,1,N,f,Ancienne forme du mot camomille.,kaikki
CAMARA,1,N,,Patronyme répandu en Afrique de l'Ouest.,kaikki
CAMARGUE,1,N,f,"Région naturelle du delta du Rhône, réputée pour ses marais, ses taureaux et ses chevaux.",kaikki
CAMARO,1,N,m,Terme familier et affectueux désignant un ami proche.,kaikki
CAMBLIGNEUL,1,N,m,"Village du département du Pas-de-Calais, en Hauts-de-France.",kaikki
CAMBODGE,1,N,m,Pays d'Asie du Sud-Est.,kaikki
CAMBRIDGE,1,N,m,"Ville d'Angleterre, siège d'une université prestigieuse.",kaikki
CAMBRONNE,1,N,,"Patronyme porté par Pierre Cambronne, général français des guerres napoléoniennes.",kaikki
CAMBYSE,1,N,,"Nom porté par des rois perses de la dynastie achéménide, dont Cambyse II, conquérant de l'Égypte.",kaikki
CAMENZIND,1,N,,Patronyme d'origine allemande.,kaikki
CAMEROUN,1,N,m,"Pays d'Afrique centrale, dont la capitale est Yaoundé.",kaikki
CAMEZIND,1,N,,Patronyme.,kaikki
CAMILLE,1,N,,Prénom mixte d'origine latine.,kaikki
CAMOENS,1,N,m,"Ancienne graphie francisée du nom de Camões, poète portugais de la Renaissance.",kaikki
CAMOES,1,N,m,"Patronyme du poète portugais Luís de Camões, auteur des Lusiades au XVIe siècle.",kaikki
CAMPANIE,1,N,f,"Région administrative du sud de l'Italie, dont Naples est le chef-lieu.",kaikki
CAMPBELLTON,1,N,m,"Ville du comté de Restigouche, au Nouveau-Brunswick.",kaikki
CAMPOTAS,1,N,,"Lieu-dit de la commune de Montjoie-en-Couserans, en Ariège.",kaikki
CANARIES,1,N,f,"Archipel espagnol situé au large du Maroc, formant une communauté autonome.",kaikki
CANAVAN,1,N,,Patronyme d'origine anglaise.,kaikki
CANBERRA,1,N,f,Capitale de l'Australie.,kaikki
CANCUN,1,N,,"Ville de l'État de Quintana Roo, au Mexique, station balnéaire réputée.",kaikki
CANDILIS,1,N,,"Patronyme d'origine grecque, porté par l'architecte Georges Candilis.",kaikki
CANET,1,N,,"Nom porté par plusieurs communes d'Occitanie, dans l'Aude, l'Hérault et les Pyrénées-Orientales, et repris comme patronyme.",kaikki
CANIAPISCAU,1,N,,"Municipalité régionale de comté de la région de la Côte-Nord, au Québec.",kaikki
CANIGOU,1,N,m,Massif montagneux du département des Pyrénées-Orientales.,kaikki
CANSEAU,1,N,,"Ancienne graphie de Canso, ville du comté de Guysborough, en Nouvelle-Écosse.",kaikki
CANSO,1,N,,"Ville du comté de Guysborough, en Nouvelle-Écosse, au Canada.",kaikki
CANSO,2,N,,"Par ellipse, le détroit de Canso qui la borde.",kaikki
CANSO,3,N,,"Par ellipse également, un cratère de la planète Mars.",kaikki
CANTABRIE,1,N,f,"Communauté autonome du nord de l'Espagne, sur le golfe de Gascogne.",kaikki
CANTAUZEL,1,N,,"Lieu-dit de la commune de Saint-Maurin, en Lot-et-Garonne.",kaikki
CANTERBURY,1,N,m,"Ville cathédrale du Kent, en Angleterre, siège de l'Église anglicane.",kaikki
CANTERBURY,2,N,m,"Banlieue de Sydney, en Australie.",kaikki
CANTLEY,1,N,m,"Municipalité de la municipalité régionale de comté des Collines-de-l'Outaouais, au Québec.",kaikki
CANTORBERY,1,N,m,"Autre graphie de Canterbury, ville cathédrale du Kent, en Angleterre.",kaikki
CAPANEE,1,N,m,"Dans la mythologie grecque, l'un des sept chefs qui marchèrent contre Thèbes.",kaikki
CAPERNAUM,1,N,f,"Ville antique de Galilée, où Jésus aurait exercé une partie de son ministère selon les Évangiles.",kaikki
CAPLET,1,N,,Patronyme.,kaikki
CAPLETTE,1,N,,Patronyme.,kaikki
CAPOUE,1,N,f,"Ville d'Italie, en Campanie, importante cité de l'Antiquité.",kaikki
CAPPADOCE,1,N,f,"Région historique et ancien royaume du centre de l'Asie Mineure, en Turquie actuelle, devenue province romaine.",kaikki
CAPSAT,1,N,m,"Sigle du Corps d'armée des personnels et des services administratifs et techniques, unité de l'armée malgache basée près d'Antananarivo.",kaikki
CAQ,1,N,f,"Coalition Avenir Québec, parti politique québécois fondé en 2011.",kaikki
CARACAS,1,N,,Capitale du Venezuela.,kaikki
CARADOC,1,N,m,Prénom masculin d'origine bretonne.,kaikki
CARALP,1,N,,Patronyme d'origine occitane.,kaikki
CARAQUET,1,N,m,"Ville du comté de Gloucester, au Nouveau-Brunswick.",kaikki
CARAVAGE,1,N,,"Nom francisé du peintre italien Caravage, figure majeure du baroque.",kaikki
CARBIOU,1,N,,"Lieu-dit de la commune de Castelbiague, en Haute-Garonne.",kaikki
CARCASSONNE,1,N,f,"Préfecture du département de l'Aude, célèbre pour sa cité médiévale fortifiée.",kaikki
CARCELLIER,1,N,,Patronyme.,kaikki
CARDAYRE,1,N,,"Lieu-dit de la commune de Sauvagnas, en Lot-et-Garonne.",kaikki
CARELIE,1,N,f,"Région historique d'Europe du Nord, partagée entre la Russie et la Finlande.",kaikki
CARELIE,2,N,f,République de la fédération de Russie qui en occupe une partie.,kaikki
CARGESE,1,N,f,Commune du département de la Corse-du-Sud.,kaikki
CARIN,1,N,f,"Prénom féminin, variante anglicisée peu courante de Carine.",kaikki
CARINA,1,N,f,"Prénom féminin, variante de Karina.",kaikki
CARINTHIE,1,N,f,État le plus méridional de l'Autriche.,kaikki
CARINTHIE,2,N,f,"Région du nord de la Slovénie, héritière avec l'Autriche d'un ancien duché d'Europe centrale.",kaikki
CARLA,1,N,f,Prénom féminin d'origine italienne.,kaikki
CARLING,1,N,,Patronyme porté en France.,kaikki
CARMAUX,1,N,,"Commune du département du Tarn, en Occitanie.",kaikki
CARMEN,1,N,f,Prénom féminin d'origine espagnole.,kaikki
CARNEY,1,N,,Patronyme d'origine anglaise.,kaikki
CARNOT,1,N,,"Patronyme porté par Sadi Carnot, physicien français, fondateur de la thermodynamique moderne.",kaikki
CARO,1,N,f,"Diminutif des prénoms féminins Carole, Caroline ou Carolane.",kaikki
CAROLANNE,1,N,f,Prénom féminin formé de la combinaison de Carole et Anne.,kaikki
CAROMB,1,N,,"Commune du département du Vaucluse, en Provence-Alpes-Côte d'Azur.",kaikki
CARPATES,1,N,f,Chaîne de montagnes d'Europe centrale et orientale.,kaikki
CARPENTER,1,N,,"Patronyme d'origine anglaise, correspondant au métier de charpentier.",kaikki
CARPENTIER,1,N,,"Patronyme d'origine professionnelle lié au métier de charpentier, répandu en Normandie et en Picardie.",kaikki
CARPENTRAS,1,N,m,"Commune du département du Vaucluse, en Provence-Alpes-Côte d'Azur.",kaikki
CARQUEIRANNE,1,N,f,"Commune balnéaire du département du Var, en Provence-Alpes-Côte d'Azur.",kaikki
CARROS,1,N,,Commune du département des Alpes-Maritimes.,kaikki
CARTHAGE,1,N,f,"Cité antique d'Afrique du Nord, sur le territoire de l'actuelle Tunisie.",kaikki
CARTHAGE,2,N,f,"Civilisation qui s'est développée autour de cette cité, rivale de Rome dans l'Antiquité.",kaikki
CASABLANCA,1,N,f,"Principale ville du Maroc, chef-lieu de la région de Casablanca-Settat.",kaikki
CASAUBON,1,N,,Patronyme.,kaikki
CASCABEL,1,N,m,"Ancienne orthographe de cascabelle, petite clochette ou grelot.",kaikki
CASOUAR,1,N,m,"Ancienne forme de casoar, grand oiseau coureur d'Océanie proche de l'autruche.",kaikki
CASPIENNE,1,N,f,"Plus grande étendue d'eau fermée du monde, entre l'Europe et l'Asie.",kaikki
CASSINI,1,N,,"Patronyme d'origine italienne, porté par une famille d'astronomes ayant notamment dirigé l'Observatoire de Paris.",kaikki
CASSIOPEE,1,N,f,"Reine mythique d'Éthiopie, mère d'Andromède, dans la mythologie grecque.",kaikki
CASSIOPEE,2,N,f,Constellation de l'hémisphère nord qui porte son nom.,kaikki
CASTAGNOLI,1,N,,Patronyme d'origine italienne.,kaikki
CASTAUBERT,1,N,,"Lieu-dit de la commune de Prat-Bonrepaux, en Ariège.",kaikki
CASTELBIAGUE,1,N,m,Village du département de la Haute-Garonne.,kaikki
CASTELGAILLARD,1,N,m,"Commune du département de la Haute-Garonne, en Occitanie.",kaikki
CASTELLET,1,N,m,"Forme abrégée reprise par plusieurs communes de Provence-Alpes-Côte d'Azur, dans le Var, le Vaucluse et les Alpes-de-Haute-Provence.",kaikki
CASTELNAU,1,N,m,"Toponyme occitan signifiant littéralement château neuf, équivalent des noms d'oïl tels que Neufchâteau ou Châteauneuf.",kaikki
CASTELNAUDARY,1,N,,"Commune du département de l'Aude, réputée pour le cassoulet.",kaikki
CASTEX,1,N,,"Patronyme porté par Jean Castex, homme politique français, ancien Premier ministre.",kaikki
CATACECAUMENE,1,N,f,"Région antique d'Asie Mineure, dans la Turquie actuelle.",kaikki
CATALABUTTE,1,N,m,"Personnage du ballet La Belle au bois dormant, maître de cérémonie à la cour.",kaikki
CATANE,1,N,f,"Ville portuaire de Sicile, en Italie, chef-lieu de la ville métropolitaine du même nom.",kaikki
CATHAY,1,N,m,Ancien nom donné à la Chine par les voyageurs européens du Moyen Âge.,kaikki
CATTELOT,1,N,,Patronyme.,kaikki
CAU,1,N,,Patronyme d'origine occitane.,kaikki
CAUBIEN,1,N,,Patronyme.,kaikki
CAUCASE,1,N,m,Région montagneuse située entre la mer Noire et la mer Caspienne.,kaikki
CAUCHON,1,N,,"Patronyme porté par Pierre Cauchon, évêque français qui présida le procès de Jeanne d'Arc.",kaikki
CAULIERES,1,N,m,"Village du département de la Somme, en Hauts-de-France.",kaikki
CAUMARTIN,1,N,,Patronyme.,kaikki
CAUVIN,1,N,,Patronyme français.,kaikki
CAUZERE,1,N,,"Lieu-dit de la commune de Prat-Bonrepaux, en Ariège.",kaikki
CAVALAIRE,1,N,f,"Forme abrégée de Cavalaire-sur-Mer, commune du département du Var.",kaikki
CAVEIRAC,1,N,,"Commune du département du Gard, en Occitanie.",kaikki
CAYAMANT,1,N,m,"Municipalité de la municipalité régionale de comté de La Vallée-de-la-Gatineau, au Québec.",kaikki
CAYOR,1,N,m,"Ancien royaume d'Afrique de l'Ouest, situé sur le territoire de l'actuel Sénégal.",kaikki
CAZALE,1,N,,Patronyme d'origine occitane.,kaikki
CAZAUX,1,N,,"Village du département de l'Ariège, également hameau de la commune de Cazavet.",kaikki
CAZAUX,2,N,,Patronyme d'origine occitane qui en dérive.,kaikki
CAZAVET,1,N,m,Village du département de l'Ariège.,kaikki
CAZERES,1,N,f,"Petite ville du département de la Haute-Garonne, en Occitanie.",kaikki
CAZOTTE,1,N,,Patronyme français.,kaikki
CB,1,N,,"Abréviation de Colombie-Britannique, province de l'ouest du Canada.",kaikki
CB,2,N,,"Sigle usuel de carte bancaire, souvent employé sous la forme carte bleue.",kaikki
CB,3,N,,"Dans le vocabulaire de la radio amateur, désigne le canal banalisé, bande de fréquences libre dite CB.",kaikki
CCITT,1,N,m,"Sigle du Comité consultatif international téléphonique et télégraphique, organisme international rebaptisé UIT-T en 1993.",kaikki
CCNI,1,N,m,"Sigle du Comité consultatif national de l'immunisation, organisme canadien chargé de recommandations vaccinales.",kaikki
CCP,1,N,f,"Sigle de Certification de conformité produit, attestation de conformité aux normes en vigueur.",kaikki
CCQ,1,N,f,"Sigle de la Commission de la construction du Québec, organisme régissant l'industrie de la construction dans cette province.",kaikki
CDM,1,N,f,"Sigle de Coupe du monde, désignant une compétition sportive internationale, comme au ski ou au cyclisme.",kaikki
CDN,1,N,,"Sigle de Côte-des-Neiges, quartier de l'arrondissement montréalais de Côte-des-Neiges–Notre-Dame-de-Grâce.",kaikki
CECCALDI,1,N,,Patronyme.,kaikki
CECILE,1,N,f,"Prénom féminin, équivalent de l'anglais Cecilia.",kaikki
CECILIA,1,N,f,Prénom féminin.,kaikki
CEDEAO,1,N,f,"Communauté économique des États de l'Afrique de l'Ouest, organisation régionale regroupant plusieurs pays ouest-africains autour d'objectifs économiques et politiques communs.",kaikki
CEDRIC,1,N,m,"Prénom masculin d'origine anglaise, dont Cédrika constitue la forme féminine.",kaikki
CEDRIKA,1,N,f,"Prénom féminin d'origine anglaise, forme féminine de Cédric, équivalent de l'anglais Cedrica.",kaikki
CEDRON,1,N,m,"Vallée située près de Jérusalem, en Israël, mentionnée dans la Bible.",kaikki
CEI,1,N,f,"Sigle de la Commission électrotechnique internationale, organisme de normalisation.",kaikki
CEI,2,N,f,"Sigle de la Communauté des États indépendants, association de pays issus de l'ex-URSS.",kaikki
CELESTIAL,1,N,m,Terme ancien désignant un sujet de l'Empire chinois.,kaikki
CELIA,1,N,f,"Prénom féminin, équivalent de l'anglais Celia.",kaikki
CELIB,1,Adj,,"Terme familier désignant une personne célibataire, sans partenaire amoureux.",kaikki
CELIB,2,N,m,"Terme familier désignant une personne célibataire, sans partenaire amoureux.",kaikki
CELINE,1,N,f,Prénom féminin.,kaikki
CELONY,1,N,m,Quartier de la ville d'Aix-en-Provence.,kaikki
CENCHREES,1,N,,"Village de la région de Corinthie, dans le Péloponnèse, en Grèce, port antique mentionné dans le Nouveau Testament.",kaikki
CENTRAFRIQUE,1,N,f,"Pays d'Afrique centrale, forme abrégée de République centrafricaine.",kaikki
CENTRAFRIQUE,2,N,f,"Par extension, la région d'Afrique centrale regroupant plusieurs de ces pays.",kaikki
CEPHALONIE,1,N,f,"Plus grande île des îles Ioniennes, en Grèce.",kaikki
CEPHAS,1,N,m,"Nom araméen signifiant pierre, donné par Jésus à l'apôtre Simon, devenu Pierre.",kaikki
CEPHEE,1,N,m,"Roi mythique d'Éthiopie, père d'Andromède, dans la mythologie grecque.",kaikki
CEPHEE,2,N,m,Constellation de l'hémisphère nord qui porte son nom.,kaikki
CERDAGNE,1,N,f,"Région historique de Catalogne, partagée aujourd'hui entre la France et l'Espagne.",kaikki
CERES,1,N,,Déesse romaine des moissons et de l'agriculture.,kaikki
CERES,2,N,,Planète naine de la ceinture d'astéroïdes qui porte son nom.,kaikki
CERET,1,N,,Petite ville du département des Pyrénées-Orientales.,kaikki
CERN,1,N,m,"Organisation européenne pour la recherche nucléaire, dotée du plus grand accélérateur de particules au monde, près de Genève.",kaikki
CERONS,1,N,f,Petite ville du département de la Gironde.,kaikki
CERVIN,1,N,m,"Sommet emblématique des Alpes, à la frontière entre la Suisse et l'Italie.",kaikki
CERYNEE,1,N,f,"Cité antique de la région d'Achaïe, en Grèce.",kaikki
CESAREE,1,N,f,Ancien nom porté par plusieurs villes antiques nommées en l'honneur d'un empereur romain.,kaikki
CESAREE,2,N,f,Ancienne désignation de l'île anglo-normande de Jersey.,kaikki
CESARION,1,N,m,"Fils de Cléopâtre VII et, selon la tradition, de Jules César.",kaikki
CESR,1,N,m,"Sigle du Centre d'étude spatiale des rayonnements, ancien laboratoire de recherche français.",kaikki
CEVENNES,1,N,f,"Massif montagneux du sud du Massif central, en France.",kaikki
CEYLAN,1,N,m,"Ancien nom du Sri Lanka, pays insulaire d'Asie du Sud.",kaikki
CEZANNE,1,N,,Autre graphie du nom du peintre français Cézanne.,kaikki
CEZEMBRE,1,N,,"Île inhabitée du département d'Ille-et-Vilaine, au large de Saint-Malo.",kaikki
CFEPP,1,N,m,Sigle du Comité pour l'étude des phénomènes paranormaux.,kaikki
CFS,1,N,f,"Sigle de Côte française des Somalis, ancien territoire colonial français, aujourd'hui Djibouti.",kaikki
CGCC,1,N,m,"Sigle de Cotre de la Garde côtière canadienne, désignant un type de navire de cette institution.",kaikki
CGM,1,N,f,"Sigle de Compagnie générale maritime, ancienne compagnie de navigation française.",kaikki
CGPM,1,N,m,"Sigle de la Conférence générale des poids et mesures, instance internationale chargée du système métrique.",kaikki
CGRI,1,N,m,"Sigle du Corps des gardiens de la révolution islamique, force militaire iranienne.",kaikki
CHABAN,1,N,,"Hameau de la commune de Cram-Chaban, en Charente-Maritime, également porté comme patronyme.",kaikki
CHABANAIS,1,N,m,Village du département de la Charente.,kaikki
CHABERT,1,N,,"Patronyme porté par le colonel Chabert, personnage d'un roman d'Honoré de Balzac.",kaikki
CHABON,1,N,,Patronyme français.,kaikki
CHAC,1,N,,"Lieu-dit de la commune de Saleich, en Haute-Garonne.",kaikki
CHAERONEE,1,N,f,"Ancienne graphie de Chéronée, ville de Béotie où Philippe II de Macédoine vainquit les cités grecques coalisées en 338 av. J.-C.",kaikki
CHAGNON,1,N,,Patronyme.,kaikki
CHAILLOL,1,N,m,"Forme abrégée de Saint-Michel-de-Chaillol, commune des Hautes-Alpes.",kaikki
CHAILLOT,1,N,m,"Quartier de Paris, dominé par la colline du même nom.",kaikki
CHAIX,1,N,,Patronyme français.,kaikki
CHALABERT,1,N,,Patronyme français.,kaikki
CHALABRE,1,N,f,"Commune du département de l'Aude, en Occitanie.",kaikki
CHALAMET,1,N,,"Patronyme français, porté par l'acteur Timothée Chalamet.",kaikki
CHALANT,1,N,m,"Ancienne variante de chaland, terme désignant un client habituel d'un commerce.",kaikki
CHALCEDOINE,1,N,f,"Cité antique d'Asie Mineure, sur le Bosphore, face à Byzance.",kaikki
CHALCIS,1,N,f,"Ville de l'île d'Eubée, en Grèce.",kaikki
CHALDEE,1,N,f,"Région antique du sud de la Mésopotamie, correspondant à l'actuel Irak oriental, souvent employée pour désigner l'ensemble de la plaine mésopotamienne.",kaikki
CHALIFOUR,1,N,m,Patronyme surtout répandu au Québec.,kaikki
CHALIFOUX,1,N,m,Patronyme surtout répandu au Canada.,kaikki
CHALOSSE,1,N,,Région naturelle du département des Landes.,kaikki
CHAMARD,1,N,,Patronyme.,kaikki
CHAMBERY,1,N,m,Préfecture du département de la Savoie.,kaikki
CHAMBLY,1,N,,"Nom porté par deux villes : une commune de l'Oise, en France, et une ville chef-lieu de la Vallée-du-Richelieu, au Québec.",kaikki
CHAMBORD,1,N,,Commune de Loir-et-Cher connue pour son château Renaissance.,kaikki
CHAMBORD,2,N,,Municipalité du Québec et commune du département de l'Eure portant également ce nom.,kaikki
CHAMONIX,1,N,,"Ville de Haute-Savoie, au pied du mont Blanc.",kaikki
CHAMOUN,1,N,,Patronyme d'origine arabe.,kaikki
CHAMPALIMAUD,1,N,,Patronyme.,kaikki
CHAMPERRET,1,N,m,"Toponyme de Levallois-Perret, également forme abrégée de porte de Champerret, à Paris.",kaikki
CHAMPHOL,1,N,f,Commune du département d'Eure-et-Loir.,kaikki
CHAMPLAIN,1,N,,"Patronyme d'origine toponymique, notamment celui du géographe et explorateur français Samuel de Champlain, fondateur de Québec.",kaikki
CHAMPNEUF,1,N,m,"Municipalité de la municipalité régionale de comté d'Abitibi, au Québec.",kaikki
CHANAKYAPURI,1,N,m,"Quartier de New Delhi, en Inde, où sont regroupées de nombreuses ambassades.",kaikki
CHANEL,1,N,,"Patronyme porté par Coco Chanel, couturière française, fondatrice de la maison de couture du même nom.",kaikki
CHANGHAI,1,N,f,"Ancienne orthographe de Shanghai, métropole chinoise.",kaikki
CHANMAX,1,Adj,,"Terme d'argot vieilli signifiant excellent, épatant.",kaikki
CHANTAL,1,N,f,Prénom féminin.,kaikki
CHANTERAINE,1,N,m,Village du département de la Meuse.,kaikki
CHANTERAINE,2,N,m,"Cours d'eau affluent de la Vauvise, dans le Cher.",kaikki
CHAON,1,N,,Commune du département de Loir-et-Cher.,kaikki
CHAPLEAU,1,N,,Patronyme.,kaikki
CHAPTEUIL,1,N,,Localité française.,kaikki
CHAPUIS,1,N,,Patronyme.,kaikki
CHAPUIT,1,N,,Patronyme.,kaikki
CHARBONIER,1,N,,Patronyme lié au métier de charbonnier.,kaikki
CHARBONNEAU,1,N,,Patronyme.,kaikki
CHARCOSSET,1,N,,Patronyme.,kaikki
CHARENTE,1,N,f,Département de la région Nouvelle-Aquitaine.,kaikki
CHARENTE,2,N,f,"Fleuve du sud-ouest de la France qui lui a donné son nom, traversant aussi la Haute-Vienne, la Vienne et la Charente-Maritime.",kaikki
CHAREST,1,N,,Patronyme porté notamment au Québec.,kaikki
CHARETTE,1,N,,Patronyme fréquent au Québec.,kaikki
CHARETTE,2,N,,"Municipalité de la région de la Mauricie, au Québec.",kaikki
CHARETTE,3,N,,"Commune du département de l'Isère, en Auvergne-Rhône-Alpes.",kaikki
CHARICLEE,1,N,f,"Prénom féminin, équivalent de l'anglais Chariclea.",kaikki
CHARLAND,1,N,,Patronyme.,kaikki
CHARLENE,1,N,f,"Prénom féminin, en vogue en France vers 1990.",kaikki
CHARLEROI,1,N,m,"Ville de Belgique, dans le Hainaut.",kaikki
CHARLES,1,N,m,"Prénom masculin, équivalent de l'anglais Charles.",kaikki
CHARLEVOIX,1,N,,"Région et municipalité régionale de comté de la Capitale-Nationale, au Québec.",kaikki
CHARLEVOIX,2,N,,Patronyme qui en est également issu.,kaikki
CHARLINE,1,N,f,"Prénom féminin, équivalent masculin Charles.",kaikki
CHARMENTRAY,1,N,m,Village du département de la Seine-et-Marne.,kaikki
CHAROLS,1,N,,Commune du département de la Drôme.,kaikki
CHARYBDE,1,N,f,"Monstre marin de la mythologie grecque, associé à un tourbillon dangereux du détroit de Messine, face à Scylla.",kaikki
CHASTRES,1,N,f,Ancienne orthographe de Châtres.,kaikki
CHATEAUGUAY,1,N,m,"Ville de la région de la Montérégie, au Québec.",kaikki
CHATEAUGUAY,2,N,m,Rivière affluente du Saint-Laurent qui lui a donné son nom.,kaikki
CHATEAUROUX,1,N,m,Préfecture du département de l'Indre.,kaikki
CHATELAILLON,1,N,m,"Forme abrégée de Châtelaillon-Plage, commune littorale de Charente-Maritime.",kaikki
CHATELLERAULT,1,N,m,Commune du département de la Vienne.,kaikki
CHATELPERRON,1,N,,"Petite commune du département de l'Allier, qui a donné son nom à une culture préhistorique.",kaikki
CHATRIC,1,N,,"Lieu-dit de la commune de Prat-Bonrepaux, en Ariège.",kaikki
CHAUDASSERIE,1,N,f,Terme familier désignant une attitude de séduction ou de provocation sexuelle appuyée.,kaikki
CHAUDRELAGE,1,N,m,Terme ancien désignant l'ensemble des ustensiles de cuisine en cuivre.,kaikki
CHAUMETTE,1,N,,Patronyme.,kaikki
CHAUMUZY,1,N,m,Village du département de la Marne.,kaikki
CHAUTEMPS,1,N,,"Patronyme porté par Camille Chautemps, homme politique français, plusieurs fois président du Conseil sous la IIIe République.",kaikki
CHAUVEAU,1,N,,Patronyme.,kaikki
CHAUVET,1,N,,"Patronyme associé à la grotte Chauvet, célèbre site orné de peintures préhistoriques en Ardèche.",kaikki
CHAVIN,1,N,,Patronyme français.,kaikki
CHAZEL,1,N,m,"Municipalité de la municipalité régionale de comté d'Abitibi-Ouest, au Québec.",kaikki
CHEBRAN,1,Adj,,"Terme d'argot vieilli signifiant à la mode, branché, formé par verlan sur branché.",kaikki
CHECHNIE,1,N,f,"République de la fédération de Russie, dans le nord du Caucase.",kaikki
CHEFTAIN,1,N,m,"Terme ancien désignant un chef, en particulier un chef militaire ou un chef de clan.",kaikki
CHEH,1,Interj,,Interjection familière employée par moquerie envers quelqu'un qui subit les conséquences de ses propres actes.,kaikki
CHELLES,1,N,f,"Nom porté par deux communes françaises, l'une dans l'Oise, l'autre en Seine-et-Marne.",kaikki
CHELSEA,1,N,m,"Municipalité de la municipalité régionale de comté des Collines-de-l'Outaouais, au Québec.",kaikki
CHEMETOFF,1,N,,Patronyme d'origine russe.,kaikki
CHEMNITZ,1,N,f,"Ville de Saxe, en Allemagne.",kaikki
CHENEVILLE,1,N,f,"Municipalité de la municipalité régionale de comté de Papineau, au Québec.",kaikki
CHENONCEAUX,1,N,m,"Commune d'Indre-et-Loire, connue pour son château sur le Cher.",kaikki
CHENOY,1,N,,Patronyme porté en France.,kaikki
CHERBOURG,1,N,m,"Ville portuaire du département de la Manche, en Normandie.",kaikki
CHERIAT,1,N,m,"Ancienne forme du mot charia, désignant la loi islamique.",kaikki
CHEVROLET,1,N,,"Patronyme, notamment celui du pionnier de l'automobile Louis Chevrolet.",kaikki
CHEVROLET,2,N,,Marque automobile américaine qui en est issue.,kaikki
CHEVTCHOUK,1,N,m,Transcription française du patronyme ukrainien Шевчук.,kaikki
CHIANTOS,1,Adj,,Terme argotique qualifiant quelque chose d'ennuyeux.,kaikki
CHIASSO,1,N,,"Localité du canton du Tessin, en Suisse, à la frontière italienne.",kaikki
CHIASSON,1,N,,Patronyme porté notamment chez les Acadiens.,kaikki
